question,answer
Apakah kanker dapat disembuhkan?,"Menurut salsa bisa disembuhkan -Ketika orang tersebut memiliki SEMANGAT untuk hidup yang tinggi -Kemudian perubahan gaya hidup lebih sehat -Menjauhi yang negatif - Mendapat dukungan dari orang-orang tersayang Tidak ada yang tidak mungkin didunia ini jika Tuhan sudah berkehendak maka terjadilah,karena penelitian sudah membuktikan bahwa memang pernah terjadi adanya … Sekian dan Terimakasih"
Apakah kanker benar benar bisa sembuh dengan pengobatan alternatif?,"Karena oengobatan alternatif belum pernah terbukti ada effek baik kepadakanker, jawaban ya TIDAK. Orang yang ngakunya sembuh setelah memakai pengobatan alternatif belum pernah terbukti (jadi bukan X foto saja, perlu pemeriksaan jaringen kanker), jadi bisa “sembuh”."
Mengapa sulit untuk mengobati kanker stadium 4?,"Karena pada kanker stadium 4 sudah ada sel-sel kanker yang beredar diseluruh tubuh pasien, jadi tidak lagi terbatas pada suatu jaringan atau organ. Sehingga kita tidak bisa mengisolir pertumbuhannya, karena sudah menjadi hal yang sistemik. Langkah terbaik yang bisa dilakukan adalah dengan kemoterapi, tetapi ini merupakan pedang bermata dua, karena obat-obatan kemoterapi fungsinya adalah menghancurkan sel yang bertumbuh secara patologis sementara sel-sel kanker yang patologis itu sudah tersebar ke seluruh tubuh maka ikut ‘meracuni’ sel-sel sehat di jaringan organ tempat sel kanker itu berada. Dua hal inilah yang menyebabkan kenapa kanker stadium 4 angka rerata kesembuhan dalam 5 tahun-nya sangat rendah (berkisar dibawah 25%). Karenanya deteksi dini itu sangat perlu dan tidak boleh dianggap remeh, lebih baik kita berprasangka buruk pada suatu benjolan sampai terbukti tidak ganas daripada mengganggap remeh suatu benjolan yang kecil, tidak nyeri dan tidak mengganggu untuk kemudian berkembang menjadi hal yang sangat menakutkan yang tidak terdeteksi sampai stadium 4."
Bagaimana cara mengobati kanker yang sudah dalam tahap metastasis?,"Saya percaya setiap penyakit pasti ada obat nya, kanker sekali pun! Hanya saja kita kadang lupa dan kurang mensyukuri apa yg telah Tuhan berikan dan terlalu pesimis. Ketika Tuhan memilih seseorang entah itu dgn kanker atau penyakit lain nya sesungguh nya Tuhan ingin mengatakan, "" selamat anda terpilih mendapat ampunan"" Istri saya terkena Breast Cancer stadium III B dan sudah menjalani lebih dari sepuluh kali kemoteraphi, Mastektomi dan saat ini masih terlihat sehat, Alhamdulillah. Jika suatu saat nanti Tuhan mengambil nya saya ikhlas dan menerima takdir tsb."
Apakah aktivitas antioksidan benar-benar dapat mencegah kanker?,"Jika mau menggunakan bahasa yang paling ilmiah, jawabannya adalah “tidak”. Antioksidan hanya ada “mengurangi/ menurunkan resiko kanker”, bukan “mencegah”, apalagi “mengobati”. Mungkin ada pertanyaan lanjutan ini, “Kalau begitu senyawa apa yang bisa mencegah?” Jawabannya: “tidak ada”. Hanya Tuhan yang bisa mencegah :)"
Apa manfaat ganja dalam penyembuhan penyakit kanker?,"Semoga jawaban ini bermanfaat. Menurut UU Republik Indonesia No. 22 Tahun 1997 Tentang Narkotika, Ganja masuk dalam Narkotika golongan I, yang mana hanya digunakan untuk kepentingan pengetahuan dan tidak digunakan untuk pengobatan serta mempunyai potensi tinggi untuk ketergantungan.Dari berbagai penelitian, ternyata ganja memiliki efek terapi yang sangat baik contohnya saja untuk terapi kanker. Diketahui bahwa ganja memilik senyawa cannabioid yang secara struktural atau secara farmakologi memiliki kesamaan struktur terhadap tetrahidrocannabiol atau yang mengikat pada reseptor cannabioid (Sarfaraz, et al, 2008). Reseptor cannabioid merupakan bagian dari sistem cannabioid pada tubuh, yang mana fungsinya memodulasi mood, memori, dan sensasi nyeri. Kanker sendiri suatu kondisi dimana adanya virus yang menyerang sel sehingga sel - sel tersebut membelah diri dan tidak terkontrol. Dalam penelitian Whitting et al, menjelaskan juga kalau ganja dapat digunakan untuk meredakan nyeri kronik pada penderita kanker (moderate-level evidence).Gambar diatas menjelaskan bagaimana mekanisme senyawa kanabioid berperan sebagai antikanker. Jalur sinyaling yang terhubung dengan aktivasi reseptor canabioid yang terinduksi oleh agonisnya. Agonis reseptor cannaboid menghambat proliferasi melalui penghambatan cAMP-dependent protein kinase, yang mana mengaktifkan mitogen-activated protein kinase (MAPK). Stimulasi sintesis seramide via aktivasi serine pamitoyltranferase (SPT) up-regulated p8, menuju ke apoptosis. Agonis reseptor cannabioid mengaktifkan jalur MAPK dan PI3K/Akt; diteruskan dengan aktivasi ERK1/2 menuju induksi cyclin kinase inhibitor p27/KIP1 dengan modulasi molekul - molekul regulator siklus sel; hasilnya pada G1 terjadilah apoptosis.Berdasarkan penjelasan diatas disimpulkan bahwa ganja juga dapat berguna sebagai antikanker dengan menghambat pertumbuhan sel kanker dengan melakukan apoptosis, baik pada kanker payudara, paru - paru, prostate, dan kanker kolon (usus besar). Selain itu, tingginya reseptor cannabioid dalam tubuh efektif untuk membunuh tumor. Pada dasarnya, masih ada beberapa studi penelitian mengenai bagaimana tanaman ganja bekerja sebagai antikanker. Di Amerika tanaman ini sudah dilegalkan untuk terapi pengobatan namun bukan untuk antikanker, tetapi digunakan sebagai terapi epilepsi. Di Indonesia sendiri masih menjadi kontroversi karena tanaman ini masih banyak disalahgunakan. Cukup penjelasan dari saya. Apabila ada yang salah mohon dikoreksi. Terimakasi :) [1] (PDF) The Use of Medical Marijuana in Cancer [2] (PDF) Cannabinoids for Cancer Treatment: Progress and PromiseCatatan Kaki[1] https://www.researchgate.net/publication/303465776[2] (PDF) Cannabinoids for Cancer Treatment: Progress and Promise"
Apakah kanker benar benar bisa sembuh dengan pengobatan alternatif?,"Karena oengobatan alternatif belum pernah terbukti ada effek baik kepadakanker, jawaban ya TIDAK. Orang yang ngakunya sembuh setelah memakai pengobatan alternatif belum pernah terbukti (jadi bukan X foto saja, perlu pemeriksaan jaringen kanker), jadi bisa “sembuh”."
Apakah diet ketogenik dapat menyembuhkan kanker?,"What the hell! Pertanyaan ini tidak muncul karena ada yang nyebarin ke media sosial kan? Pesan saya: jangan main-main sama kanker, karena pasien kanker berpacu dengan waktu. Jika sampai coba-coba pengobatan dan stadiumnya udah bablas parah, kita nggak bisa memutar balik waktu lo. Pengobatan kanker ya pakai obat-obatan kanker, bukan pake obat herbal, apalagi diet-diet ga jelas. Apalagi sampai ngeklaim bahwa dengan diet (((saja))) bisa nyembuhin kanker 🤦"
Apakah kemoterapi benar benar dapat menyembuhkan kanker yang sudah mengenai beberapa organ ?,"Tidak, kecuali lekemi akut terutama di anak-anak/orang remaja, dan limfoma ganas. Tetapi akhir-akhir ini telah diperkembangkan obat melawan kanker yang baru, bukan racun umum seperti kemoterapi, tetapi diarahkan ke metabolisme yang berubah khusus di kanker itu, atau menggunakan sistim imun kami sendiri, berhasil terutama jika ada sesuatu mutasi di kanker itu, ini contohnya melanoma yang sebelum ada imunoterapi ini jika sudah meyebar tidal bisa diobati lagi, ini scan sebelum disbelah kiri dan setelah imunoterapi disebelah kanan (hitam itu aktivitas kanker, di scan kanan yang hitam jantung dan kandung kemih yang normal)ada obat lainnya yang khusus diarahkan kepada kelainan metabolisme kanker itu, diarahkan ke mitokondria sel kanker (sumber energi sel) sehingga sel yang sehat tidak kena. A New Way to Fight Cancer Dengan obat baru yang demikian kadang-kadang bisa bulanan, bahkan tahunan hidup dengen kwalitas penghidupan yang baik, harapan kami jika kanker itu menjadi kebal terhadap obat yang baru ini, akan tersedia obat generasi kedua, lalu ketiga dsb.dsb. sehingga penyakit kanker yang sudah tersebar bisa diubah menjadi penyakit kronis seperti penyakit HIV sekarang."
Apakah jamur dan tumbuhan dapat terkena kanker?,"Bisa, sel tumbuhan bisa terkena sejenis kanker atau tumor. Tapi karena tumbuhan memiliki dinding sel, jadi sel yang sedang mereplikasi dengan kecepatan tinggi tersebut tidak menyebar kemana-mana. Jadinya hanya terlihat bengkak dan dapat diangkut (dipotong) dengan mudah. Sekalipun tidak diangkut, tidak apa-apa. Tumbuhannya tidak akan mati ._."
